CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,TENURE
C16950,477.45278,1.0,71.48,71.48,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,700.0,322.357201,0.0,12
C14569,1689.238956,1.0,261.89,139.19,122.7,0.0,0.416667,0.083333,0.333333,0.0,0,7,1700.0,309.348573,0.0,12
C11429,1920.231187,1.0,167.08,167.08,0.0,132.90266200000002,0.166667,0.166667,0.0,0.166667,2,2,2300.0,625.532634,0.0,12
C16410,1155.9765,1.0,0.0,0.0,0.0,1115.92003,0.0,0.0,0.0,0.166667,2,0,1500.0,1298.142663,0.0,12
C14102,2088.285449,1.0,0.0,0.0,0.0,1110.062064,0.0,0.0,0.0,0.166667,2,0,6000.0,476.667426,0.0,12
C18887,2069.451252,1.0,0.0,0.0,0.0,2849.085564,0.0,0.0,0.0,0.666667,14,0,3000.0,199.137135,0.0,6
C16392,5719.149672,1.0,1611.04,1447.64,163.4,5034.877748,0.916667,0.333333,0.833333,0.083333,1,27,9000.0,4997.3754020000015,0.0,12
C18369,2000.759048,1.0,801.77,801.77,0.0,0.0,0.25,0.25,0.0,0.0,0,5,3000.0,538.119129,0.0,12
C17203,186.25802,1.0,0.0,0.0,0.0,463.74254400000007,0.0,0.0,0.0,0.333333,5,0,4000.0,763.120271,0.0,12
C16929,177.551278,0.636364,66.25,0.0,66.25,0.0,0.416667,0.0,0.416667,0.0,0,5,2500.0,2283.641666,0.0,12
C10080,1727.6384489999996,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,11000.0,2959.920544,0.0,12
C19068,30.175490000000003,1.0,235.71,0.0,235.71,0.0,1.0,0.0,0.8888889999999999,0.0,0,9,1500.0,171.066972,0.857143,9
C12371,955.41412,1.0,0.0,0.0,0.0,1145.252721,0.0,0.0,0.0,0.25,4,0,1200.0,1402.659723,0.0,12
C12166,1756.0781370000002,1.0,0.0,0.0,0.0,954.822692,0.0,0.0,0.0,0.166667,3,0,6000.0,1083.406473,0.0,12
C13684,0.0,0.0,339.85,339.85,0.0,103.334378,1.0,1.0,0.0,0.083333,1,12,6500.0,432.927281,0.0,12
C11021,3421.5478,1.0,36.0,0.0,36.0,19.042417,0.083333,0.0,0.083333,0.083333,1,1,3500.0,404.993426,0.0,12
C14570,203.499251,1.0,2115.76,530.0,1585.76,0.0,1.0,0.5,1.0,0.0,0,52,4000.0,1953.639143,1.0,12
C17229,91.029575,1.0,1055.7,0.0,1055.7,0.0,1.0,0.0,1.0,0.0,0,14,5000.0,1083.300243,1.0,12
C10849,2406.569238,1.0,0.0,0.0,0.0,94.706407,0.0,0.0,0.0,0.25,4,0,2400.0,314.272712,0.0,12
C17646,2320.107011,0.8888889999999999,2118.42,2118.42,0.0,3285.5706210000008,0.222222,0.222222,0.0,0.555556,14,14,5000.0,922.698832,0.0,9
C15311,1494.69695,0.666667,0.0,0.0,0.0,3020.521475,0.0,0.0,0.0,0.5,20,0,3000.0,582.828406,0.0,6
C13180,791.1176730000002,1.0,854.2,854.2,0.0,0.0,0.25,0.25,0.0,0.0,0,3,7350.0,5346.679636,0.416667,12
C17721,525.17417,1.0,91.23,48.9,42.33,0.0,0.333333,0.083333,0.25,0.0,0,4,4000.0,154.93983500000004,0.0,12
C13545,3242.285167,1.0,0.0,0.0,0.0,2732.692813,0.0,0.0,0.0,0.916667,28,0,6000.0,766.465991,0.0,12
C17853,1.533981,0.545455,141.56,0.0,141.56,0.0,0.5,0.0,0.5,0.0,0,6,4000.0,248.103302,1.0,12
C11850,1194.651852,1.0,322.29,0.0,322.29,0.0,0.916667,0.0,0.833333,0.0,0,13,1200.0,482.35554800000006,0.0,12
C14904,3083.636304,1.0,250.0,0.0,250.0,0.0,0.5,0.0,0.416667,0.0,0,6,10000.0,4669.193554,0.083333,12
C17306,1380.30715,1.0,664.83,0.0,664.83,1106.333559,0.666667,0.0,0.583333,0.166667,4,11,2500.0,401.138062,0.0,12
C14164,4663.032241,1.0,1325.31,1325.31,0.0,0.0,0.333333,0.333333,0.0,0.0,0,5,4500.0,2064.110786,0.0,12
C17415,81.088359,0.909091,554.7,316.0,238.7,0.0,0.916667,0.166667,0.916667,0.0,0,13,1000.0,579.784969,0.4,12
C12732,24.1725,0.727273,270.0,0.0,270.0,0.0,0.818182,0.0,0.818182,0.0,0,6,8500.0,378.193141,0.714286,11
C17815,83.030075,1.0,2298.89,567.55,1731.34,0.0,0.916667,0.166667,0.833333,0.0,0,22,1000.0,2034.589917,1.0,12
C11106,62.635576,1.0,611.31,0.0,611.31,0.0,1.0,0.0,1.0,0.0,0,37,1500.0,514.6675,0.916667,12
C16066,212.25194,1.0,0.0,0.0,0.0,310.679119,0.0,0.0,0.0,0.166667,3,0,300.0,332.528057,0.083333,12
C11167,20.962217000000006,1.0,290.36,0.0,290.36,0.0,0.916667,0.0,0.833333,0.0,0,12,10000.0,255.56413,0.727273,12
C12219,4223.867789,1.0,2514.74,1597.67,917.07,3444.750251,1.0,1.0,0.833333,0.333333,11,53,5500.0,964.935365,0.0,6
C17837,3377.632916,1.0,0.0,0.0,0.0,1241.559904,0.0,0.0,0.0,0.083333,2,0,5000.0,1028.191288,0.0,12
C18732,1478.079872,1.0,0.0,0.0,0.0,204.29492,0.0,0.0,0.0,0.333333,5,0,1500.0,383.28285,0.0,12
C10431,9335.31417,1.0,226.23,226.23,0.0,0.0,0.166667,0.166667,0.0,0.0,0,5,15000.0,1885.239981,0.0,12
C10279,80.70880600000002,1.0,569.9,569.9,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,9500.0,634.000055,0.083333,12
C16438,0.0,0.0,408.38,0.0,408.38,0.0,0.833333,0.0,0.75,0.0,0,13,6000.0,535.013917,0.0,12
C18474,190.570683,1.0,620.64,219.0,401.64,0.0,1.0,0.083333,1.0,0.0,0,13,2500.0,412.129864,0.166667,12
C17483,673.592238,1.0,2199.62,303.56,1896.06,0.0,1.0,0.25,1.0,0.0,0,32,3000.0,2377.36405,0.0,12
C18149,42.375573,0.909091,150.56,0.0,150.56,0.0,0.5,0.0,0.5,0.0,0,6,4000.0,278.128216,0.1,12
C15112,564.325877,1.0,0.0,0.0,0.0,36.998782,0.0,0.0,0.0,0.083333,1,0,600.0,239.847051,0.0,12
C15526,658.6552,1.0,629.99,629.99,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,6000.0,353.862252,0.0,12
C17876,1205.235951,1.0,413.23,331.87,81.36,0.0,1.0,0.75,0.625,0.0,0,19,1200.0,476.38169000000005,0.0,8
C18742,6.646795,1.0,228.84,0.0,228.84,0.0,0.666667,0.0,0.666667,0.0,0,12,4000.0,232.79032400000003,1.0,12
C12727,99.680638,0.818182,0.0,0.0,0.0,437.399211,0.0,0.0,0.0,0.333333,5,0,10500.0,661.87877,0.333333,12
C13165,666.3147730000002,0.545455,0.0,0.0,0.0,1435.898249,0.0,0.0,0.0,0.083333,1,0,1500.0,444.852002,0.0,12
C13742,854.739785,1.0,0.0,0.0,0.0,298.390512,0.0,0.0,0.0,0.083333,1,0,7000.0,1397.280901,0.0,12
C13495,6882.811895999998,1.0,2480.63,2038.24,442.39,1657.436894,0.916667,0.833333,0.583333,0.5,12,48,8500.0,1876.060624,0.0,12
C12298,40.343354,0.5,318.79,318.79,0.0,0.0,0.2,0.2,0.0,0.0,0,2,6000.0,603.896667,0.0,10
C18347,1726.0352239999993,1.0,1065.65,1065.65,0.0,3004.9873820000007,0.333333,0.333333,0.0,0.5,18,9,3000.0,5807.675792,0.083333,12
C16996,77.653879,1.0,473.62,340.48,133.14,1260.284262,0.5,0.25,0.166667,0.083333,1,6,1800.0,1572.10707,0.083333,12
C15369,1002.93543,1.0,1056.33,0.0,1056.33,0.0,1.0,0.0,1.0,0.0,0,42,2200.0,1108.476353,0.0,12
C17192,46.795701,0.272727,1.4,1.4,0.0,189.110391,0.166667,0.166667,0.0,0.083333,1,2,4500.0,0.0,0.0,12
C12643,14.58126,0.272727,87.3,0.0,87.3,0.0,0.083333,0.0,0.083333,0.0,0,1,8000.0,669.7679009999998,0.75,12
C13184,906.830419,1.0,129.0,129.0,0.0,2168.295882,0.083333,0.083333,0.0,0.166667,2,1,1700.0,2152.93568,0.083333,12
C17747,803.052704,1.0,19.75,19.75,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2000.0,402.155365,0.0,12
C12762,2711.995096,1.0,600.0,600.0,0.0,5352.991545,0.833333,0.833333,0.0,0.583333,8,10,5000.0,1536.48483,0.1,12
C17675,793.855972,1.0,1478.93,1478.93,0.0,0.0,0.333333,0.333333,0.0,0.0,0,10,1200.0,723.9598070000002,0.0,12
C12014,1764.908055,0.727273,0.0,0.0,0.0,1552.832951,0.0,0.0,0.0,0.25,6,0,3666.666667,5126.650633,0.125,12
C11210,1109.366186,1.0,348.78,348.78,0.0,46.656862,0.714286,0.714286,0.0,0.14285699999999998,1,9,1200.0,438.733395,0.0,7
C15253,581.24856,0.909091,556.83,484.88,71.95,0.0,0.727273,0.636364,0.090909,0.0,0,32,1500.0,328.462817,0.0,11
C14358,251.715214,0.909091,2722.34,1744.63,977.71,0.0,0.75,0.75,0.583333,0.0,0,32,1200.0,2165.330989,0.777778,12
C10481,1122.603377,1.0,883.73,457.62,426.11,0.0,0.833333,0.333333,0.75,0.0,0,26,3000.0,632.0624429999998,0.0,12
C14407,237.393795,1.0,1294.97,0.0,1294.97,307.201386,1.0,0.0,0.916667,0.25,3,16,2500.0,1098.051237,0.166667,12
C18056,618.966003,1.0,4709.14,395.92,4313.22,0.0,1.0,0.166667,1.0,0.0,0,18,4500.0,4627.972313,0.083333,12
C13585,24.635116,1.0,205.92,0.0,205.92,0.0,1.0,0.0,0.8888889999999999,0.0,0,9,1500.0,189.085208,0.857143,9
C16750,5.663355,0.363636,35.0,35.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,2500.0,394.7618470000001,0.1,12
C11220,229.913693,1.0,2406.77,1955.67,451.1,0.0,1.0,1.0,0.5,0.0,0,35,10000.0,2239.201417,1.0,12
C10639,3419.661676,1.0,11.06,11.06,0.0,1261.347779,0.083333,0.083333,0.0,0.083333,1,1,4000.0,745.984976,0.0,12
C11479,48.213487,1.0,403.1,403.1,0.0,0.0,0.666667,0.666667,0.0,0.0,0,8,7000.0,341.196389,0.666667,12
C11909,52.776167,1.0,508.94,508.94,0.0,0.0,1.0,1.0,0.0,0.0,0,12,3000.0,478.83359400000006,0.4,12
C14341,5543.972323,1.0,0.0,0.0,0.0,2231.203315,0.0,0.0,0.0,0.333333,9,0,6000.0,1265.31093,0.0,12
C13094,1412.593167,1.0,1278.5,1278.5,0.0,0.0,0.166667,0.166667,0.0,0.0,0,6,10500.0,1296.772849,0.0,12
C12748,4644.779013,1.0,4820.68,4063.61,757.07,0.0,0.833333,0.75,0.5,0.0,0,54,9200.0,1076.138168,0.0,12
C11049,411.727643,0.909091,1037.82,1037.82,0.0,0.0,0.5,0.5,0.0,0.0,0,12,6500.0,1461.416883,0.1,12
C18757,7.054474000000001,0.818182,427.98,0.0,427.98,0.0,1.0,0.0,0.916667,0.0,0,18,1500.0,402.34297,0.111111,12
C18329,16.176672,0.363636,95.55,0.0,95.55,0.0,0.25,0.0,0.25,0.0,0,3,1000.0,136.961964,0.0,12
C18752,1869.63255,1.0,0.0,0.0,0.0,1897.993012,0.0,0.0,0.0,0.166667,4,0,2000.0,454.348175,0.0,12
C15783,1393.098681,1.0,353.43,0.0,353.43,1465.018056,0.7,0.0,0.6,0.2,3,14,1500.0,491.576263,0.0,10
C17142,37.683028,1.0,356.27,1.4,354.87,0.0,0.25,0.166667,0.166667,0.0,0,6,6500.0,96.582811,0.0,12
C10331,4732.37354,1.0,14.95,0.0,14.95,2173.356068,0.083333,0.0,0.083333,0.416667,11,1,5700.0,1289.284068,0.0,12
C14659,72.679836,0.545455,800.55,586.55,214.0,0.0,0.5,0.333333,0.333333,0.0,0,13,7000.0,1584.8976300000004,0.666667,12
C17376,1623.895229,1.0,0.0,0.0,0.0,352.784134,0.0,0.0,0.0,0.583333,11,0,1700.0,729.695998,0.0,12
C16281,756.8879559999998,0.727273,178.0,0.0,178.0,0.0,0.333333,0.0,0.333333,0.0,0,4,1000.0,1390.2563710000004,0.090909,12
C17307,44.63179,0.909091,582.6,0.0,582.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,854.15178,0.545455,12
C12305,931.674532,1.0,2417.91,2303.91,114.0,3508.775536,0.583333,0.5,0.166667,0.166667,9,21,8000.0,3468.393326,0.0,12
C13456,1637.51006,1.0,0.0,0.0,0.0,6050.562566,0.0,0.0,0.0,0.666667,22,0,6500.0,5587.314274,0.0,12
C10415,2025.162877,1.0,778.33,0.0,778.33,0.0,0.916667,0.0,0.916667,0.0,0,28,2000.0,1411.329676,0.0,12
C15894,1079.097023,1.0,247.44,0.0,247.44,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,503.445403,0.0,12
C18128,1075.185409,1.0,398.53,45.65,352.88,0.0,0.916667,0.083333,0.916667,0.0,0,12,1000.0,579.034578,0.0,12
C16780,2433.487018,1.0,0.0,0.0,0.0,348.296735,0.0,0.0,0.0,0.272727,6,0,2500.0,527.171985,0.0,11
C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.016763,0.0,12
C11566,4627.588589,1.0,1774.46,1774.46,0.0,0.0,0.583333,0.583333,0.0,0.0,0,12,5200.0,864.174924,0.0,12
