Suburb|Address|Rooms|Type|Price|Method|SellerG|Date|Distance|Postcode|Bedroom2|Bathroom|Car|Landsize|BuildingArea|YearBuilt|CouncilArea|Lattitude|Longtitude|Regionname|Propertycount
South Yarra|16/26 Toorak Rd|1|u|407000.0|SP|hockingstuart|11/02/2017|185985.69463227247|3141.0|||||347424.2263060257|||||Southern Metropolitan|14887.0
Southbank|6/85 Dodds St|4|u|1250000.0|S|Kay|12/11/2016|749862.3426503714|3006.0|4.0|3.0|1.0|0.0|1439177.1654221285|2000.0|Melbourne|-37.8267|144.9687|Southern Metropolitan|8400.0
Port Melbourne|2/48 Esplanade Pl|2|u|850000.0|SP|Buxton|4/03/2017|1422585.1129599968|3207.0|||||1564419.7912380819|||||Southern Metropolitan|8648.0
Murrumbeena|3/53 Kangaroo Rd|2|u|670000.0|PI|Buxton|3/06/2017|99862.42833922245|3163.0|2.0|1.0|2.0|0.0|205362.87548344038||Glen Eira|-37.89814000000001|145.07455|Southern Metropolitan|4442.0
Blackburn South|2A Stewart Av|3|h|874000.0|S|Fletchers|22/07/2017|1245747.055868365|3130.0|4.0|2.0|1.0|1965.0|1233928.9084189143|154.0|Monash|-37.86162|145.11042|Eastern Metropolitan|4387.0
Kingsbury|53 Scott Gr|2|h|731000.0|S|Ray|11/03/2017|-135751.6712231295|3083.0|2.0|1.0|0.0|640.0|327913.6345075597||Darebin|-37.717|145.0312|Northern Metropolitan|1414.0
Kingsville|2/35 Kingsville St|1|u|200000.0|VB|Greg|30/07/2016|68088.89838843374|3012.0|1.0|1.0|1.0|0.0|210322.51322087183|1960.0|Maribyrnong|-37.8089|144.8788|Western Metropolitan|1808.0
Thornbury|1/54 Pender St|1|u|415000.0|S|Harcourts|8/07/2017|329362.42646823643|3071.0|3.0|1.0|6.0|609.0|169924.48864252953||Brimbank|-37.73106|144.80665|Northern Metropolitan|8870.0
Brunswick|11 Heller St|5|h|2545000.0|S|Jellis|27/05/2017|2712205.25824298|3056.0|5.0|3.0|4.0|957.0|2006939.814667609|1995.0|Moreland|-37.77501|144.95117|Northern Metropolitan|11918.0
Kew|3/33 Parkhill Rd|3|t|1007000.0|S|Nelson|12/08/2017|-848242.0054665254|3101.0|4.0|2.0|4.0|596.0|551533.9720447238|1930.0|Banyule|-37.75008|145.05051|Southern Metropolitan|10331.0
Ashburton|55 Alamein Av|4|h|1650000.0|PI|Noel|25/02/2017|1318560.3916471624|3147.0|||||1190163.5608042986|||||Southern Metropolitan|3052.0
Toorak|2/619 Toorak Rd|2|u|1010000.0|PI|Marshall|8/04/2017|1131207.442505136|3142.0|2.0|2.0|2.0|586.0|975281.6046269542|1990.0|Stonnington|-37.8427|145.0236|Southern Metropolitan|7217.0
Templestowe|5 Caminole Wyn|5|h|1325000.0|VB|Fletchers|22/07/2017|3125667.653893847|3106.0|2.0|1.0|1.0||1482336.5192906074||Port Phillip|-37.87093|144.97654|Eastern Metropolitan|6202.0
Niddrie|13 George St|3|h|960000.0|S|Nelson|6/05/2017|2831718.8080724105|3042.0|3.0|1.0|2.0|626.0|559327.500060467||Moonee Valley|-37.7421|144.8851|Western Metropolitan|2291.0
St Kilda|7/17 Herbert St|1|u|1210000.0|PI|Buxton|18/03/2017|657443.6095875711|3182.0|1.0|1.0|1.0|0.0|1249238.750691265|1970.0|Port Phillip|-37.8716|144.9828|Southern Metropolitan|13240.0
Northcote|5/162 Westgarth St|2|u|592000.0|S|Collins|4/03/2017|-2220675.5951171173|3070.0|2.0|1.0|2.0|0.0|466459.68396483007||Darebin|-37.7828|145.0096|Northern Metropolitan|11364.0
Bentleigh|13a Rosina St|4|t|1533000.0|S|hockingstuart|26/07/2016|1794949.8419599766|3204.0|||||1774817.2934082246|||||Southern Metropolitan|6795.0
Hadfield|38 Tassell St|2|h|640000.0|SP|YPA|27/11/2016|1320230.756288657|3046.0|2.0|1.0|1.0|612.0|1298623.9469930353||Moreland|-37.7109|144.9389|Northern Metropolitan|2606.0
Hawthorn East|43 Mayston St|3|h|1625000.0|S|Woodards|22/05/2016|776769.3178304741|3123.0|3.0|1.0|3.0|372.0|2016614.5238386646||Boroondara|-37.8267|145.054|Southern Metropolitan|6482.0
Ashwood|2/25 May Park Av|2|u|675000.0|S|Buxton|10/12/2016|1374040.26843485|3147.0|||||1219735.8542247377|||||Southern Metropolitan|2894.0
Northcote|8/62 Cunningham St|1|u|320000.0|PI|Barry|14/05/2016|1044249.585886888|3070.0|1.0|1.0|0.0|0.0|1360722.4705488393||Darebin|-37.7827|144.9999|Northern Metropolitan|11364.0
Clifton Hill|1/8 Louise St|2|u|712000.0|S|MICM|20/05/2017|901480.0633855402|3068.0|2.0|1.0|1.0|36.0|91776.04050887749||Yarra|-37.7926|145.0019|Northern Metropolitan|2954.0
Hoppers Crossing|533 Sayers Rd|4|h|1305000.0|S|Ray|3/06/2017|1379954.9343436055|3029.0|4.0|2.0|0.0|4606.0|1226458.9993516866||Wyndham|-37.84931|144.6942|Western Metropolitan|13830.0
Carnegie|4/5 Gnarwyn Rd|1|u|330000.0|S|Ray|22/04/2017|-738713.1737117801|3163.0|1.0|1.0|1.0|0.0|517374.97638450883|1960.0|Glen Eira|-37.8944|145.0616|Southern Metropolitan|7822.0
West Melbourne|74 Dudley St|4|h|1900000.0|VB|Whiting|15/07/2017|1261913.6888889656|3003.0|||||1259733.2443223963|||||Northern Metropolitan|2230.0
Keilor East|3 Pennington St|3|h|941000.0|S|Harcourts|13/05/2017|1139487.8803135222|3033.0|3.0|1.0|1.0|703.0|471303.72860875656|1965.0|Moonee Valley|-37.746|144.8651|Western Metropolitan|5629.0
Gisborne|60 Hamilton St|3|h|540000.0|SA|McDonald|17/06/2017|3576430.663139598|3437.0|3.0|1.0|2.0|665.0|-575553.8931994439|1930.0|Macedon Ranges|-37.48701|144.58567|Northern Victoria|3376.0
Yarraville|52 Severn St|3|h|865000.0|SP|Jas|18/06/2016|-309949.1809054718|3013.0|3.0|1.0|1.0|189.0|392317.1469511636|1930.0|Maribyrnong|-37.8159|144.8795|Western Metropolitan|6543.0
Box Hill|21 Barkly St|3|h|1200000.0|SP|Marshall|10/12/2016|1455860.0626462554|3128.0|3.0|1.0|2.0|550.0|932809.2104971176|1950.0|Whitehorse|-37.8275|145.1298|Eastern Metropolitan|4605.0
Mill Park|49 Romano Av|4|h|550000.0|S|Ray|8/07/2017|1237714.0534634674|3082.0|3.0|1.0|2.0|604.0|900124.6565628236|1950.0|Whittlesea|-37.6708|145.01353|Northern Metropolitan|10529.0
Caulfield South|26 Gardenvale Rd|2|h|1104000.0|S|Gary|13/05/2017|1585063.943384524|3162.0|2.0|1.0|1.0|534.0|673800.7040691096||Glen Eira|-37.8989|145.0171|Southern Metropolitan|5051.0
Reservoir|13 Southernhay St|3|h|787000.0|S|Stockdale|22/05/2016|61140.04906231619|3073.0|3.0|1.0|1.0|563.0|870961.6086490509|1940.0|Darebin|-37.7258|145.0129|Northern Metropolitan|21650.0
Pascoe Vale|6/99 Kent Rd|2|t|480000.0|S|Ray|6/08/2016|1518584.1057088524|3044.0|||||1059607.1336032576|||||Northern Metropolitan|7485.0
Brighton East|19 Wrixon Av|4|h|2160000.0|S|hockingstuart|27/11/2016|1905542.0054636216|3187.0|||||2663123.778151107|||||Southern Metropolitan|6938.0
Burwood|7 Carmody St|3|t|918000.0|S|Bekdon|17/06/2017|1048957.0548224843|3125.0|3.0|2.0|1.0|207.0|707084.3890606514|2012.0|Monash|-37.85682|145.10873|Southern Metropolitan|5678.0
Toorak|3 Mell St|5|h|2170000.0|S|Matthew|17/09/2016|4410194.647481775|3142.0|3.0|1.0|0.0|333.0|2071186.8578992912||Stonnington|-37.8474|145.0063|Southern Metropolitan|7217.0
Kew|26 Vaughan Cr|3|h|1280000.0|S|Marshall|3/06/2017|1504703.8615350868|3101.0|||||282280.6122202132|||||Southern Metropolitan|10331.0
Middle Park|2 Patterson St|3|h|1850000.0|PI|Cayzer|3/06/2017|2214494.8511452805|3206.0|3.0|2.0|1.0|321.0|1047961.6053300631||Port Phillip|-37.85411|144.96409|Southern Metropolitan|2019.0
Bentleigh|99 Patterson Rd|4|h|1380000.0|S|C21|27/11/2016|713561.5241257851|3204.0|4.0|1.0|2.0|580.0|959639.0051066037||Glen Eira|-37.9263|145.0422|Southern Metropolitan|6795.0
Carlton North|454 Canning St|3|h|1717500.0|S|Nelson|24/06/2017|1565046.0207593176|3054.0|3.0|1.0|0.0|202.0|1247012.1912203794||Yarra|-37.78621|144.97512|Northern Metropolitan|3106.0
Toorak|1/48 Mathoura Rd|2|u|650000.0|S|Hodges|13/05/2017|467624.7204787314|3142.0|2.0|1.0|0.0|0.0|1587258.6208628134||Stonnington|-37.8454|145.0076|Southern Metropolitan|7217.0
Prahran|117 Charles St|3|h|1255000.0|S|Marshall|28/05/2016|1736097.8583401085|3181.0|3.0|1.0|1.0|231.0|1570663.620098586|1910.0|Stonnington|-37.8467|144.9894|Southern Metropolitan|7717.0
Preston|2 Eggleton Ct|3|h|855000.0|VB|Ray|3/09/2016|395117.0860838226|3072.0|3.0|1.0|2.0|584.0|1735148.1419831791||Darebin|-37.7332|145.0252|Northern Metropolitan|14577.0
Brunswick East|2/146 Blyth St|2|u|510000.0|S|Nelson|16/04/2016|2297623.0018523103|3057.0|2.0|1.0|1.0|0.0|433706.38506557705||Moreland|-37.7671|144.9746|Northern Metropolitan|5533.0
Moonee Ponds|35 Addison St|4|h|1637000.0|S|Nelson|12/11/2016|1805301.398269569|3039.0|4.0|1.0|3.0|539.0|1492871.4956719256|1900.0|Moonee Valley|-37.7701|144.9287|Western Metropolitan|6232.0
Kew|2/78 Studley Park Rd|3|u|955000.0|S|Marshall|25/02/2017|455887.03331572213|3101.0|3.0|2.0|2.0|140.0|1127477.14662208|1980.0|Boroondara|-37.8063|145.0179|Southern Metropolitan|10331.0
Port Melbourne|405/1 Danks St W|1|u|470000.0|SP|LITTLE|22/08/2016|1084914.0916916723|3207.0|1.0|1.0|1.0|0.0|-248856.82409965352|2000.0|Port Phillip|-37.8436|144.944|Southern Metropolitan|8648.0
Ashburton|56 Gloucester Rd|4|h|1600000.0|VB|Jellis|22/08/2016|2616606.6861248696|3147.0|||||1543634.003135845|||||Southern Metropolitan|3052.0
Rowville|240 Dandelion Dr|3|h|622000.0|S|Ray|3/06/2017|-225918.90023354394|3178.0|3.0|1.0|1.0|372.0|-631509.7363644475||Knox|-37.91655|145.26933|South-Eastern Metropolitan|11667.0
Sunbury|1 Heysen Dr|3|h|410000.0|SP|Brad|3/06/2017|-543417.645738159|3429.0|3.0|2.0|2.0|600.0|688686.3684862568|1980.0|Hume|-37.57686|144.71023|Western Metropolitan|14092.0
Eaglemont|61 Glenard Dr|4|h|2050000.0|S|Miles|15/10/2016|2389544.1233568853|3084.0|4.0|3.0|2.0|723.0|1386552.588057334|1950.0|Banyule|-37.7615|145.0705|Eastern Metropolitan|1651.0
Hawthorn East|5/80 Campbell Rd|1|u|371000.0|PI|O'Donoghues|28/05/2016|707795.2315990564|3123.0|1.0|1.0|0.0|917.0|205581.08179430195|1970.0|Boroondara|-37.8338|145.0545|Southern Metropolitan|6482.0
Brunswick West|77 Collier Cr|3|h|1180000.0|S|Nelson|25/02/2017|1180973.286866704|3055.0|||||1086533.8586787912|||||Northern Metropolitan|7082.0
Meadow Heights|2 Navarre Ct|3|h|467000.0|S|Raine|24/06/2017|1752541.1885060216|3048.0|3.0|1.0|1.0|565.0|648186.5940621161|1975.0|Hume|-37.65702|144.92447|Northern Metropolitan|4704.0
Gowanbrae|45 Marigold Cr|4|h|880000.0|VB|Nelson|28/05/2016|1299581.5090913188|3043.0|||||1220804.806002657|||||Western Metropolitan|1071.0
Moonee Ponds|14 Scotia St|4|h|1225000.0|SP|Nelson|4/03/2017|2236356.444866484|3039.0|4.0|1.0|1.0|388.0|720700.3869927455|1920.0|Moonee Valley|-37.7692|144.9057|Western Metropolitan|6232.0
Yallambie|70 Tarcoola Dr|3|h|810000.0|S|Buckingham|10/12/2016|-208084.57942774732|3085.0|3.0|2.0|2.0|568.0|-448689.07483178907|1975.0|Banyule|-37.7216|145.1066|Northern Metropolitan|1369.0
Kew|23 Valentine Av|4|h|3000000.0|S|Marshall|27/11/2016|3523211.1314412085|3101.0|||||2797081.5460620713|||||Southern Metropolitan|10331.0
