animal_id,age_upon_outcome,animal_type,breed,age_category
A684346,14,Cat,Domestic Shorthair Mix,junior
A666430,365,Dog,Beagle Mix,junior
A675708,365,Dog,Pit Bull,junior
A680386,3285,Dog,Miniature Schnauzer Mix,adult
A683115,155,Other,Bat Mix,junior
A664462,124,Dog,Leonberger Mix,junior
A693700,365,Other,Squirrel Mix,junior
A692618,1095,Dog,Chihuahua Shorthair Mix,adult
A685067,31,Cat,Domestic Shorthair Mix,junior
A678580,93,Cat,Domestic Shorthair Mix,junior
A675405,365,Cat,Domestic Medium Hair Mix,junior
A673652,730,Dog,Papillon/Border Collie,adult
A677679,62,Dog,Chihuahua Shorthair/Pomeranian,junior
A640655,1460,Dog,Miniature Schnauzer/Miniature Poodle,adult
A690350,2920,Dog,Labrador Retriever Mix,adult
A680396,730,Dog,Rat Terrier Mix,adult
A674298,365,Dog,Pit Bull Mix,junior
A670420,21,Cat,Domestic Shorthair Mix,junior
A692378,62,Dog,German Shepherd/Labrador Retriever,junior
A684460,62,Cat,Domestic Shorthair Mix,junior
A673952,248,Cat,Domestic Shorthair Mix,junior
A686497,155,Cat,Domestic Shorthair Mix,junior
A666660,730,Dog,Beagle Mix,adult
A687965,62,Cat,Domestic Shorthair Mix,junior
A668547,365,Cat,Domestic Medium Hair Mix,junior
A689952,365,Dog,Mastiff Mix,junior
A669621,124,Dog,Plott Hound Mix,junior
A667311,62,Dog,Labrador Retriever Mix,junior
A690699,124,Dog,Chihuahua Shorthair Mix,junior
A682393,62,Cat,Siamese,junior
A681039,14,Cat,Domestic Shorthair Mix,junior
A682532,62,Cat,Domestic Shorthair Mix,junior
A669918,93,Dog,Labrador Retriever Mix,junior
A683779,93,Cat,Domestic Shorthair Mix,junior
A678098,4380,Dog,Labrador Retriever Mix,adult
A686829,21,Cat,Domestic Shorthair Mix,junior
A677038,730,Dog,Chihuahua Shorthair Mix,adult
A665344,1460,Dog,Chihuahua Shorthair Mix,adult
A617061,1095,Cat,Domestic Medium Hair Mix,adult
A675394,365,Dog,Miniature Pinscher Mix,junior
A683068,365,Other,Bat,junior
A682085,1460,Cat,Russian Blue Mix,adult
A673439,93,Dog,Cardigan Welsh Corgi/English Setter,junior
A692877,730,Cat,Domestic Shorthair Mix,adult
A683856,2555,Cat,Russian Blue Mix,adult
A647382,1095,Dog,Border Collie Mix,adult
A683517,31,Cat,Domestic Shorthair Mix,junior
A660098,730,Dog,Pit Bull Mix,adult
A693005,365,Dog,Boxer Mix,junior
A688811,365,Cat,Domestic Medium Hair Mix,junior
A680225,730,Cat,Domestic Shorthair Mix,adult
A662912,62,Cat,Domestic Shorthair Mix,junior
A688352,1825,Dog,Parson Russell Terrier Mix,adult
A545127,2190,Dog,Pit Bull Mix,adult
A661023,1095,Dog,Miniature Poodle Mix,adult
A673648,1095,Dog,Pit Bull Mix,adult
A674466,5,Dog,Pit Bull Mix,junior
A637480,730,Dog,Miniature Schnauzer Mix,adult
A677479,365,Dog,Chihuahua Shorthair Mix,junior
A664116,310,Dog,Australian Shepherd/Australian Cattle Dog,junior
A677218,28,Cat,Domestic Shorthair Mix,junior
A691708,93,Cat,Domestic Shorthair Mix,junior
A688079,3650,Dog,Labrador Retriever Mix,adult
A676606,124,Dog,Basenji/Chihuahua Longhair,junior
A666831,365,Dog,Chihuahua Shorthair Mix,junior
A683939,155,Dog,Pit Bull Mix,junior
A619328,730,Dog,Labrador Retriever,adult
A693212,365,Other,Bat Mix,junior
A682652,62,Dog,Siberian Husky/German Shepherd,junior
A680208,28,Other,Bat,junior
A670066,365,Cat,Domestic Shorthair Mix,junior
